model,metric,direction,null,observed,null_mean,null_ci_low,null_ci_high,null_exceedances,null_exceedance_rate
static,best_lag_correlation,higher,condition_shuffle,0.5496406684538244,0.0634290776871232,-0.021313236862589284,0.14801807357054644,0,0.0
static,best_lag_correlation,higher,independent_neuron_shift,0.5496406684538244,0.24706778979486024,0.21486350230176052,0.2771931261409652,0,0.0
static,best_lag_correlation,higher,time_reversal,0.5496406684538244,0.12419101376152167,0.12419101376152167,0.12419101376152167,0,0.0
static,normalized_position_rmse,lower,block_shuffle,0.8704529395266865,1.1373223079195633,1.0812748214130743,1.1827811808058366,0,0.0
static,normalized_position_rmse,lower,circular_shift,0.8704529395266865,1.2027385755413238,1.1439683192158814,1.2522907430460881,0,0.0
static,normalized_position_rmse,lower,condition_shuffle,0.8704529395266865,1.2316916403510751,1.1760812913025254,1.2852913383430682,0,0.0
static,normalized_position_rmse,lower,independent_neuron_shift,0.8704529395266865,1.0245499339682034,1.0087539508459569,1.0409017503352695,0,0.0
static,normalized_position_rmse,lower,time_reversal,0.8704529395266865,1.1865353764806534,1.1865353764806532,1.1865353764806532,0,0.0
static,path_length_similarity,higher,block_shuffle,0.5600181085922523,0.8154841978092887,0.7480363539096027,0.8779344669186383,200,1.0
static,path_length_similarity,higher,circular_shift,0.5600181085922523,0.5817484484619367,0.5667704139428541,0.5922716487996295,199,0.995
static,path_length_similarity,higher,condition_shuffle,0.5600181085922523,0.6268833581584364,0.5657230361106661,0.665373841687213,198,0.99
static,path_length_similarity,higher,independent_neuron_shift,0.5600181085922523,0.233336727099544,0.2190527890693946,0.24650206621103607,0,0.0
static,path_length_similarity,higher,time_reversal,0.5600181085922523,0.5683529921660455,0.5683529921660456,0.5683529921660456,200,1.0
static,position_correlation,higher,block_shuffle,0.5202750821600726,0.07320472399514039,-0.0131247681507405,0.17785666439744846,0,0.0
static,position_correlation,higher,circular_shift,0.5202750821600726,-0.01437196878816169,-0.10525480320517436,0.0907697599495359,0,0.0
static,position_correlation,higher,condition_shuffle,0.5202750821600726,-0.06794316990500575,-0.17175554237860524,0.0362567890301357,0,0.0
static,position_correlation,higher,independent_neuron_shift,0.5202750821600726,0.11762448955117913,0.06904982290842157,0.16270903937068207,0,0.0
static,position_correlation,higher,time_reversal,0.5202750821600726,0.02050806744321554,0.02050806744321554,0.02050806744321554,0,0.0
static,position_cosine,higher,block_shuffle,0.3824786206039892,0.0034877683761655766,-0.07063667508696853,0.08334020095226245,0,0.0
static,position_cosine,higher,circular_shift,0.3824786206039892,-0.08147231247642836,-0.18457654717332317,0.021264051585754576,0,0.0
static,position_cosine,higher,condition_shuffle,0.3824786206039892,-0.06296560595314514,-0.1669112840140772,0.05635806095390028,0,0.0
static,position_cosine,higher,independent_neuron_shift,0.3824786206039892,0.017325870291496327,-0.02565103174493174,0.058955545514084676,0,0.0
static,position_cosine,higher,time_reversal,0.3824786206039892,-0.021136967053817936,-0.021136967053817936,-0.021136967053817936,0,0.0
static,speed_profile_correlation,higher,block_shuffle,0.5270740963361309,0.15294114252858626,-0.00869737579577405,0.343163850250407,0,0.0
static,speed_profile_correlation,higher,circular_shift,0.5270740963361309,0.08247337188622028,-0.07057270011363657,0.2482750305661544,0,0.0
static,speed_profile_correlation,higher,condition_shuffle,0.5270740963361309,-0.066456367773485,-0.1848642935447635,0.13675699904322683,0,0.0
static,speed_profile_correlation,higher,independent_neuron_shift,0.5270740963361309,0.12757812812809963,-0.014169423362070357,0.26577363568832785,0,0.0
static,speed_profile_correlation,higher,time_reversal,0.5270740963361309,0.0432900906960858,0.0432900906960858,0.0432900906960858,0,0.0
static,velocity_direction_cosine,higher,block_shuffle,0.3044816333499971,0.0036992782502329735,-0.07054488100300478,0.0740877910185608,0,0.0
static,velocity_direction_cosine,higher,circular_shift,0.3044816333499971,-0.007540175602952266,-0.07372031784318599,0.0610355892937678,0,0.0
static,velocity_direction_cosine,higher,condition_shuffle,0.3044816333499971,-0.01017923360569457,-0.053181718384973924,0.03213117282583533,0,0.0
static,velocity_direction_cosine,higher,independent_neuron_shift,0.3044816333499971,-0.008764103886435703,-0.09118644488514907,0.0645455844184359,0,0.0
static,velocity_direction_cosine,higher,time_reversal,0.3044816333499971,0.08337535633817125,0.08337535633817125,0.08337535633817125,0,0.0
static,zero_lag_correlation,higher,block_shuffle,0.5477818026768868,0.16724904308170516,0.09503915200785952,0.257149598363745,0,0.0
static,zero_lag_correlation,higher,circular_shift,0.5477818026768868,0.0883023742453247,0.010346714955119775,0.17809342322622967,0,0.0
static,zero_lag_correlation,higher,condition_shuffle,0.5477818026768868,0.042244696632379064,-0.04697559901072802,0.13179809880086515,0,0.0
static,zero_lag_correlation,higher,independent_neuron_shift,0.5477818026768868,0.22578616068272386,0.1930716630851731,0.255752402340894,0,0.0
static,zero_lag_correlation,higher,time_reversal,0.5477818026768868,0.11729686151833539,0.11729686151833535,0.11729686151833535,0,0.0
