model,null,permutation,metric,value
static,condition_shuffle,27,velocity_direction_cosine,-0.034342595824189893
static,condition_shuffle,27,speed_profile_correlation,-0.03898367857557892
static,condition_shuffle,27,path_length_similarity,0.6468877578002988
static,condition_shuffle,27,acceleration_direction_cosine,-0.03831844273026265
static,condition_shuffle,27,zero_lag_correlation,0.07009448943384558
static,condition_shuffle,27,best_lag_correlation,0.09448290924812981
static,condition_shuffle,28,position_correlation,-0.08609721712502431
static,condition_shuffle,28,position_cosine,-0.11114954572826866
static,condition_shuffle,28,normalized_position_rmse,1.2414832916187044
static,condition_shuffle,28,velocity_direction_cosine,-0.03536573929202265
static,condition_shuffle,28,speed_profile_correlation,-0.17755751205920248
static,condition_shuffle,28,path_length_similarity,0.6407240818502086
static,condition_shuffle,28,acceleration_direction_cosine,-0.04575404038894109
static,condition_shuffle,28,zero_lag_correlation,0.026642418970331705
static,condition_shuffle,28,best_lag_correlation,0.0438910204557682
static,condition_shuffle,29,position_correlation,-0.10372341448092588
static,condition_shuffle,29,position_cosine,-0.07280094361762368
static,condition_shuffle,29,normalized_position_rmse,1.2506232225525604
static,condition_shuffle,29,velocity_direction_cosine,-0.033247706568375876
static,condition_shuffle,29,speed_profile_correlation,0.15039086089042694
static,condition_shuffle,29,path_length_similarity,0.5600662935077837
static,condition_shuffle,29,acceleration_direction_cosine,-0.0036996259477980477
static,condition_shuffle,29,zero_lag_correlation,0.011493795528966603
static,condition_shuffle,29,best_lag_correlation,0.030330173036852277
static,condition_shuffle,30,position_correlation,-0.09379022860419413
static,condition_shuffle,30,position_cosine,-0.12189950701300024
static,condition_shuffle,30,normalized_position_rmse,1.2454806931117144
static,condition_shuffle,30,velocity_direction_cosine,-0.03567478833943255
static,condition_shuffle,30,speed_profile_correlation,-0.10038521420117888
static,condition_shuffle,30,path_length_similarity,0.6578591629150166
static,condition_shuffle,30,acceleration_direction_cosine,-0.013810112145019178
static,condition_shuffle,30,zero_lag_correlation,0.020030752728604086
static,condition_shuffle,30,best_lag_correlation,0.04266262777583047
static,condition_shuffle,31,position_correlation,-0.09036966344185998
static,condition_shuffle,31,position_cosine,-0.08853757582006777
static,condition_shuffle,31,normalized_position_rmse,1.2437049036484065
static,condition_shuffle,31,velocity_direction_cosine,-0.028793486860099908
static,condition_shuffle,31,speed_profile_correlation,-0.08658439803441852
static,condition_shuffle,31,path_length_similarity,0.6513484083118861
static,condition_shuffle,31,acceleration_direction_cosine,-0.010770822694462437
static,condition_shuffle,31,zero_lag_correlation,0.02297051634037951
static,condition_shuffle,31,best_lag_correlation,0.055161143037214026
static,condition_shuffle,32,position_correlation,0.004672609617471509
static,condition_shuffle,32,position_cosine,0.01604860281740048
static,condition_shuffle,32,normalized_position_rmse,1.19330728700215
static,condition_shuffle,32,velocity_direction_cosine,0.007968076778626638
static,condition_shuffle,32,speed_profile_correlation,-0.18196614493198907
static,condition_shuffle,32,path_length_similarity,0.6375418121809125
static,condition_shuffle,32,acceleration_direction_cosine,-0.02005285276018332
static,condition_shuffle,32,zero_lag_correlation,0.10465345546310247
static,condition_shuffle,32,best_lag_correlation,0.13212495250548761
static,condition_shuffle,33,position_correlation,-0.11774920984863303
static,condition_shuffle,33,position_cosine,-0.08372429034924876
static,condition_shuffle,33,normalized_position_rmse,1.2578487429690606
static,condition_shuffle,33,velocity_direction_cosine,0.015693609307039495
static,condition_shuffle,33,speed_profile_correlation,-0.012644660041656961
static,condition_shuffle,33,path_length_similarity,0.6068495533362929
static,condition_shuffle,33,acceleration_direction_cosine,0.03343015943764743
static,condition_shuffle,33,zero_lag_correlation,-0.0005605057023706783
static,condition_shuffle,33,best_lag_correlation,0.033081682834487695
static,condition_shuffle,34,position_correlation,-0.001954602938098203
static,condition_shuffle,34,position_cosine,0.005340638660661313
static,condition_shuffle,34,normalized_position_rmse,1.1968902966936839
static,condition_shuffle,34,velocity_direction_cosine,-0.03384068842373917
static,condition_shuffle,34,speed_profile_correlation,-0.017717807784855287
static,condition_shuffle,34,path_length_similarity,0.6420597572895802
static,condition_shuffle,34,acceleration_direction_cosine,-0.025604108842733096
static,condition_shuffle,34,zero_lag_correlation,0.09895777729479932
static,condition_shuffle,34,best_lag_correlation,0.12061334802711451
static,condition_shuffle,35,position_correlation,-0.05820733250422596
static,condition_shuffle,35,position_cosine,-0.05496294990422063
static,condition_shuffle,35,normalized_position_rmse,1.2268821049243106
static,condition_shuffle,35,velocity_direction_cosine,0.017880179452779518
static,condition_shuffle,35,speed_profile_correlation,-0.09536850635067208
static,condition_shuffle,35,path_length_similarity,0.6362927779384091
static,condition_shuffle,35,acceleration_direction_cosine,-0.035455096690547014
static,condition_shuffle,35,zero_lag_correlation,0.05061204505659214
static,condition_shuffle,35,best_lag_correlation,0.05349544768054258
static,condition_shuffle,36,position_correlation,-0.12116441654934128
static,condition_shuffle,36,position_cosine,-0.08101878012691541
static,condition_shuffle,36,normalized_position_rmse,1.2596018439183372
static,condition_shuffle,36,velocity_direction_cosine,0.031422420011473745
static,condition_shuffle,36,speed_profile_correlation,-0.025594152738892068
static,condition_shuffle,36,path_length_similarity,0.5974322884255029
static,condition_shuffle,36,acceleration_direction_cosine,0.017662229689974256
static,condition_shuffle,36,zero_lag_correlation,-0.003495664048713182
static,condition_shuffle,36,best_lag_correlation,0.004903159733362839
static,condition_shuffle,37,position_correlation,-0.10506821249817411
static,condition_shuffle,37,position_cosine,-0.09531808263859326
static,condition_shuffle,37,normalized_position_rmse,1.2513178163089542
static,condition_shuffle,37,velocity_direction_cosine,-0.03747424111310661
static,condition_shuffle,37,speed_profile_correlation,-0.045019424202739355
static,condition_shuffle,37,path_length_similarity,0.6144901647364528
static,condition_shuffle,37,acceleration_direction_cosine,-0.07579274590870769
static,condition_shuffle,37,zero_lag_correlation,0.010338025038222204
static,condition_shuffle,37,best_lag_correlation,0.030556280383743677
static,condition_shuffle,38,position_correlation,-0.05362472473230882
static,condition_shuffle,38,position_cosine,-0.04790473439088705
static,condition_shuffle,38,normalized_position_rmse,1.224466318541459
static,condition_shuffle,38,velocity_direction_cosine,-0.027550686885423722
static,condition_shuffle,38,speed_profile_correlation,-0.015866541244835913
static,condition_shuffle,38,path_length_similarity,0.6072414403757687
static,condition_shuffle,38,acceleration_direction_cosine,-0.040456322833566025
static,condition_shuffle,38,zero_lag_correlation,0.05455051222081015
static,condition_shuffle,38,best_lag_correlation,0.06487399072362654
static,condition_shuffle,39,position_correlation,0.025344112065708378
static,condition_shuffle,39,position_cosine,0.05795851840198681
static,condition_shuffle,39,normalized_position_rmse,1.1820614471825397
static,condition_shuffle,39,velocity_direction_cosine,-0.02202256755805636
static,condition_shuffle,39,speed_profile_correlation,-0.14537606376297402
static,condition_shuffle,39,path_length_similarity,0.6598093042231806
static,condition_shuffle,39,acceleration_direction_cosine,0.002231454768331493
static,condition_shuffle,39,zero_lag_correlation,0.12241932975990598
static,condition_shuffle,39,best_lag_correlation,0.1368800366072038
static,condition_shuffle,40,position_correlation,0.03850698097314455
static,condition_shuffle,40,position_cosine,0.04547569149525547
static,condition_shuffle,40,normalized_position_rmse,1.174844405608293
static,condition_shuffle,40,velocity_direction_cosine,0.0019360894347430645
static,condition_shuffle,40,speed_profile_correlation,-0.16227029119475558
static,condition_shuffle,40,path_length_similarity,0.6432847025443903
static,condition_shuffle,40,acceleration_direction_cosine,-0.018711980603686996
static,condition_shuffle,40,zero_lag_correlation,0.13373199921779327
static,condition_shuffle,40,best_lag_correlation,0.1553449785506571
static,condition_shuffle,41,position_correlation,0.022227740216383823
static,condition_shuffle,41,position_cosine,0.05142800801224581
static,condition_shuffle,41,normalized_position_rmse,1.1837636743576072
static,condition_shuffle,41,velocity_direction_cosine,-0.017803887702683287
static,condition_shuffle,41,speed_profile_correlation,0.04832159777256599
static,condition_shuffle,41,path_length_similarity,0.566193454577019
static,condition_shuffle,41,acceleration_direction_cosine,-0.04158571979076615
static,condition_shuffle,41,zero_lag_correlation,0.1197410014344329
static,condition_shuffle,41,best_lag_correlation,0.12340526186749715
static,condition_shuffle,42,position_correlation,-0.10566427770891051
static,condition_shuffle,42,position_cosine,-0.10095044705979929
static,condition_shuffle,42,normalized_position_rmse,1.2516255631726334
static,condition_shuffle,42,velocity_direction_cosine,-0.002937678079246747
static,condition_shuffle,42,speed_profile_correlation,-0.1408601802210027
static,condition_shuffle,42,path_length_similarity,0.6403395188626367
static,condition_shuffle,42,acceleration_direction_cosine,-0.011961554337125212
static,condition_shuffle,42,zero_lag_correlation,0.009825743957872234
static,condition_shuffle,42,best_lag_correlation,0.023103086719648325
static,condition_shuffle,43,position_correlation,-0.10194953187292617
static,condition_shuffle,43,position_cosine,-0.07381446381714733
static,condition_shuffle,43,normalized_position_rmse,1.249706414344317
static,condition_shuffle,43,velocity_direction_cosine,-0.005639261717093086
static,condition_shuffle,43,speed_profile_correlation,-0.014068255856799895
static,condition_shuffle,43,path_length_similarity,0.6410599850121576
static,condition_shuffle,43,acceleration_direction_cosine,0.04519706107104846
static,condition_shuffle,43,zero_lag_correlation,0.013018337613409814
static,condition_shuffle,43,best_lag_correlation,0.0374462346002421
static,condition_shuffle,44,position_correlation,-0.07704226962541616
static,condition_shuffle,44,position_cosine,-0.06722645757234892
static,condition_shuffle,44,normalized_position_rmse,1.2367616546417237
static,condition_shuffle,44,velocity_direction_cosine,0.015673083778633294
static,condition_shuffle,44,speed_profile_correlation,-0.1738127090134482
static,condition_shuffle,44,path_length_similarity,0.6435075719451893
static,condition_shuffle,44,acceleration_direction_cosine,0.018421466487996738
static,condition_shuffle,44,zero_lag_correlation,0.03442458475363754
static,condition_shuffle,44,best_lag_correlation,0.05956286399876479
static,condition_shuffle,45,position_correlation,0.023570249817060518
static,condition_shuffle,45,position_cosine,0.04249296134613662
static,condition_shuffle,45,normalized_position_rmse,1.1830306679626126
static,condition_shuffle,45,velocity_direction_cosine,-0.030922025757731387
static,condition_shuffle,45,speed_profile_correlation,-0.03659347963085092
static,condition_shuffle,45,path_length_similarity,0.6370350591585814
static,condition_shuffle,45,acceleration_direction_cosine,-0.028990467754182108
static,condition_shuffle,45,zero_lag_correlation,0.12089480517306286
static,condition_shuffle,45,best_lag_correlation,0.1381424271876335
static,condition_shuffle,46,position_correlation,-0.08795282225389708
static,condition_shuffle,46,position_cosine,-0.07856328468853539
static,condition_shuffle,46,normalized_position_rmse,1.2424486681899614
static,condition_shuffle,46,velocity_direction_cosine,-0.04861668896254122
static,condition_shuffle,46,speed_profile_correlation,-0.012117279708066945
static,condition_shuffle,46,path_length_similarity,0.639174297006538
static,condition_shuffle,46,acceleration_direction_cosine,-0.03287704172179806
static,condition_shuffle,46,zero_lag_correlation,0.025047641447671753
static,condition_shuffle,46,best_lag_correlation,0.06202965974501579
static,condition_shuffle,47,position_correlation,-0.11089539947007997
static,condition_shuffle,47,position_cosine,-0.1367670996357603
static,condition_shuffle,47,normalized_position_rmse,1.25432313823647
static,condition_shuffle,47,velocity_direction_cosine,-0.007146498205784567
static,condition_shuffle,47,speed_profile_correlation,-0.139454555327674
static,condition_shuffle,47,path_length_similarity,0.6435224549832327
static,condition_shuffle,47,acceleration_direction_cosine,0.023250281638209587
static,condition_shuffle,47,zero_lag_correlation,0.005329919241070553
static,condition_shuffle,47,best_lag_correlation,0.03139152212490067
static,condition_shuffle,48,position_correlation,-0.10201223495132496
static,condition_shuffle,48,position_cosine,-0.08799531467775519
static,condition_shuffle,48,normalized_position_rmse,1.249738833083564
static,condition_shuffle,48,velocity_direction_cosine,0.03545793649341118
static,condition_shuffle,48,speed_profile_correlation,-0.08099671849516195
static,condition_shuffle,48,path_length_similarity,0.6343519440277087
static,condition_shuffle,48,acceleration_direction_cosine,0.0002581128865034958
static,condition_shuffle,48,zero_lag_correlation,0.012964448206404033
static,condition_shuffle,48,best_lag_correlation,0.027870629513024613
static,condition_shuffle,49,position_correlation,-0.013936078183359957
static,condition_shuffle,49,position_cosine,0.003928231341153408
static,condition_shuffle,49,normalized_position_rmse,1.2033410150957562
static,condition_shuffle,49,velocity_direction_cosine,-0.0057578890860994
static,condition_shuffle,49,speed_profile_correlation,-0.16845929751544594
static,condition_shuffle,49,path_length_similarity,0.6645344549864601
static,condition_shuffle,49,acceleration_direction_cosine,-0.013499970644511099
static,condition_shuffle,49,zero_lag_correlation,0.0886604424188944
static,condition_shuffle,49,best_lag_correlation,0.09826171362935349
static,condition_shuffle,50,position_correlation,-0.06891882534798009
static,condition_shuffle,50,position_cosine,-0.08916310537011186
static,condition_shuffle,50,normalized_position_rmse,1.2325103506656476
static,condition_shuffle,50,velocity_direction_cosine,-0.015882850658438478
static,condition_shuffle,50,speed_profile_correlation,-0.08245903317426388
static,condition_shuffle,50,path_length_similarity,0.6590408567162903
