candidate,family,category,severity,split,response_single,response_average,cka_time,cka_delta,rsa_state,rsa_temporal,gpfa_position,gpfa_velocity,gpfa_speed,gpfa_acceleration,gpfa_rmse_quality
shift_8,shift,temporal,8.0,selection,0.1126416022581262,0.17728039373172555,0.3461316073809808,0.07265823219168042,0.30121326810786325,0.3592412508287129,0.551996292284455,-0.03697259199763828,0.26533921080328954,-0.15589212719473167,-0.8585304547954195
shift_8,shift,temporal,8.0,test,0.11672718753855241,0.18452995416276904,0.3451487841652037,0.05898561777972999,0.29464792931813866,0.33657336933373333,0.5522726406840957,0.010667155993031193,0.3674658909255628,-0.13773547076883066,-0.8633131566666352
shift_16,shift,temporal,16.0,selection,0.07561776342810475,0.11809064441862666,0.31487043496216083,0.0605523630040234,0.2231528890777823,0.26158527687344674,0.3856933651590168,-0.22799887171291605,0.2281515858744743,-0.16664540964019434,-0.9852934686805587
shift_16,shift,temporal,16.0,test,0.0770953329563677,0.1210879629568192,0.30950844793283666,0.059484969516978264,0.21234193782251035,0.24969277436415963,0.3631279461638125,-0.21559057178830887,0.31962544173065865,-0.1962737979014923,-1.0040281876407224
shift_32,shift,temporal,32.0,selection,0.04702546851010515,0.0693941783445979,0.29804377275369803,0.05426180531290504,0.16241716208752016,0.1973288592095468,0.28089920782468003,0.0072940187837862245,0.053518649646867776,-0.01885139318102316,-1.0573287817777677
shift_32,shift,temporal,32.0,test,0.04837144046760762,0.07228960541812882,0.29058641881943004,0.051738452170737505,0.16912531831064692,0.17170450042037502,0.24114363072298958,0.01168195955611995,0.1327938512067632,-0.009216246953912427,-1.0849533542637273
shift_64,shift,temporal,64.0,selection,0.024152890016797973,0.03246608904351766,0.2828523165307749,0.054035449530633696,0.19627670301353783,0.14330359226213624,0.05625193186600954,-0.028793099504263408,0.1670074137856379,0.01701059624304183,-1.1971746896822153
shift_64,shift,temporal,64.0,test,0.02518142424451912,0.03279683058657722,0.2827988355798587,0.04765142505182116,0.18901616850069852,0.12177905680433486,0.02665123256404707,-0.05110136463861517,0.1308384120495967,0.0017371666515439404,-1.215752272960628
reverse,reverse,temporal,1.0,selection,0.04047609087208304,0.06119057494337715,0.2726326290825797,0.06755315607289034,0.18044226639264108,0.24020511339014874,0.2260487106925987,0.09597120361091967,0.07459201660046973,0.07883279846902953,-1.0976340646468878
reverse,reverse,temporal,1.0,test,0.03974543396738678,0.06076031941673645,0.2798317600746224,0.0640945028097504,0.2119203213144326,0.19189176176031586,0.19074701768690308,0.051149643131828085,0.10237688715606627,0.024495496528251358,-1.1223306657966403
smooth_0.5,smooth,temporal,0.5,selection,0.18167381537054586,0.2891981601908199,0.45430797783641064,0.09978455639328515,0.4537640480651421,0.5556509146397922,0.6986295098282497,0.466100815200127,0.4688831845350292,0.41318466665623993,-0.7280887507024114
