metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,split_null_failures,split_null_failure_rate,standardized_separation,n_splits
speed_profile_correlation,higher,block_shuffle_32,0.7776808599817238,0.7117258847062766,0.8353866104436762,0.2581043143885992,0.12923877265831252,0.4157369193618612,1.0,0,0.0,8.670994138774784,200
speed_profile_correlation,higher,block_shuffle_4,0.7776808599817238,0.7117258847062766,0.8353866104436762,0.25724602738256364,0.14463033282093396,0.3800297643498969,1.0,0,0.0,10.430082876539574,200
speed_profile_correlation,higher,block_shuffle_8,0.7776808599817238,0.7117258847062766,0.8353866104436762,0.26068384863149513,0.14266768956531894,0.3786867797641336,1.0,0,0.0,10.63506308422086,200
speed_profile_correlation,higher,circular_shift,0.7776808599817238,0.7117258847062766,0.8353866104436762,0.1920046533118481,0.07956063100941442,0.31836085497986716,1.0,0,0.0,11.835291393768259,200
speed_profile_correlation,higher,condition_shuffle,0.7776808599817238,0.7117258847062766,0.8353866104436762,-0.06615522604209141,-0.2399647103588378,0.14151566281459205,1.0,0,0.0,10.552104499806774,200
speed_profile_correlation,higher,frame_shuffle,0.7776808599817238,0.7117258847062766,0.8353866104436762,0.2564186060575653,0.1430831342737299,0.3829867449143846,1.0,0,0.0,10.46469053413229,200
speed_profile_correlation,higher,independent_neuron_shift,0.7776808599817238,0.7117258847062766,0.8353866104436762,0.23276219514716195,0.11226021628330358,0.3577375884919118,1.0,0,0.0,10.564761079687072,200
speed_profile_correlation,higher,time_reversal,0.7776808599817238,0.7117258847062766,0.8353866104436762,0.21599584627900975,0.1717639860504511,0.2443088183497239,1.0,0,0.0,22.120993133618757,200
velocity_direction_cosine,higher,block_shuffle_16,0.6368334688558647,0.5979271560986006,0.6723456417975543,0.0054232478937700545,-0.09172463929522058,0.09983547868853113,1.0,0,0.0,17.23081936539423,200
velocity_direction_cosine,higher,block_shuffle_32,0.6368334688558647,0.5979271560986006,0.6723456417975543,0.08298229689441244,-0.019786377962195623,0.21619277642524098,1.0,0,0.0,11.772603494673168,200
velocity_direction_cosine,higher,block_shuffle_4,0.6368334688558647,0.5979271560986006,0.6723456417975543,0.0020602326905907456,-0.07423188002713785,0.08415102601865443,1.0,0,0.0,19.765158569001397,200
velocity_direction_cosine,higher,block_shuffle_8,0.6368334688558647,0.5979271560986006,0.6723456417975543,0.00533565459776232,-0.07370768213061728,0.08373886412753613,1.0,0,0.0,19.910859689000656,200
velocity_direction_cosine,higher,circular_shift,0.6368334688558647,0.5979271560986006,0.6723456417975543,-0.006575291724470389,-0.10570899182166356,0.08592728193543708,1.0,0,0.0,17.376048727455466,200
