bootstrap,metric,raw_dynamic_minus_static,oriented_dynamic_advantage
14,velocity_direction_cosine,0.18091992839634896,0.18091992839634896
14,speed_profile_correlation,0.05069362442679187,0.05069362442679187
14,path_length_similarity,0.1218286650317636,0.1218286650317636
14,acceleration_direction_cosine,0.27980253777083514,0.27980253777083514
14,zero_lag_correlation,0.272775881219095,0.272775881219095
14,best_lag_correlation,0.27310120210787503,0.27310120210787503
15,position_correlation,0.3007910290180333,0.3007910290180333
15,position_cosine,0.4630180477422848,0.4630180477422848
15,normalized_position_rmse,-0.2549561499247731,0.2549561499247731
15,velocity_direction_cosine,0.2117127982404583,0.2117127982404583
15,speed_profile_correlation,0.020751320417434438,0.020751320417434438
15,path_length_similarity,0.126892938617563,0.126892938617563
15,acceleration_direction_cosine,0.2916535013798274,0.2916535013798274
15,zero_lag_correlation,0.2726188905937203,0.2726188905937203
15,best_lag_correlation,0.2727869570114394,0.2727869570114394
16,position_correlation,0.30987613925282353,0.30987613925282353
16,position_cosine,0.4639827654739931,0.4639827654739931
16,normalized_position_rmse,-0.2076632751277956,0.2076632751277956
16,velocity_direction_cosine,0.22209880424358222,0.22209880424358222
16,speed_profile_correlation,0.04687890543229151,0.04687890543229151
16,path_length_similarity,0.1158117901952912,0.1158117901952912
16,acceleration_direction_cosine,0.31939879397481397,0.31939879397481397
16,zero_lag_correlation,0.2556191156628919,0.2556191156628919
16,best_lag_correlation,0.25865033641447643,0.25865033641447643
17,position_correlation,0.08554935208614456,0.08554935208614456
17,position_cosine,0.14731196995964047,0.14731196995964047
17,normalized_position_rmse,-0.06770880627214693,0.06770880627214693
17,velocity_direction_cosine,0.20079331740292977,0.20079331740292977
17,speed_profile_correlation,-0.07448540893723954,-0.07448540893723954
17,path_length_similarity,0.20831468016741805,0.20831468016741805
17,acceleration_direction_cosine,0.280625857629236,0.280625857629236
17,zero_lag_correlation,0.08267584747203793,0.08267584747203793
17,best_lag_correlation,0.08692840950226477,0.08692840950226477
18,position_correlation,0.2172623131553426,0.2172623131553426
18,position_cosine,0.30452045303687547,0.30452045303687547
18,normalized_position_rmse,-0.15895535128665683,0.15895535128665683
18,velocity_direction_cosine,0.23393871658380805,0.23393871658380805
18,speed_profile_correlation,0.0176545598229495,0.0176545598229495
18,path_length_similarity,0.12228605721485264,0.12228605721485264
18,acceleration_direction_cosine,0.28902341888485783,0.28902341888485783
18,zero_lag_correlation,0.19746595860960658,0.19746595860960658
18,best_lag_correlation,0.1896057876595877,0.1896057876595877
19,position_correlation,0.13949089458352248,0.13949089458352248
19,position_cosine,0.2835268876087938,0.2835268876087938
19,normalized_position_rmse,-0.12485766491512529,0.12485766491512529
19,velocity_direction_cosine,0.19774222426076488,0.19774222426076488
19,speed_profile_correlation,-0.02315933742331089,-0.02315933742331089
19,path_length_similarity,0.1961409147293247,0.1961409147293247
19,acceleration_direction_cosine,0.2757683016293334,0.2757683016293334
19,zero_lag_correlation,0.13408045478487107,0.13408045478487107
19,best_lag_correlation,0.13853035199382968,0.13853035199382968
20,position_correlation,0.09375636188919112,0.09375636188919112
20,position_cosine,0.081963080527511,0.081963080527511
20,normalized_position_rmse,-0.07782523924905216,0.07782523924905216
20,velocity_direction_cosine,0.13520176245565213,0.13520176245565213
20,speed_profile_correlation,-0.006205749157787044,-0.006205749157787044
20,path_length_similarity,0.1613593438828596,0.1613593438828596
20,acceleration_direction_cosine,0.17338844368723938,0.17338844368723938
20,zero_lag_correlation,0.08353160131834536,0.08353160131834536
20,best_lag_correlation,0.08684573314846622,0.08684573314846622
21,position_correlation,0.2630069693826319,0.2630069693826319
21,position_cosine,0.3673575175048886,0.3673575175048886
21,normalized_position_rmse,-0.22028410051704062,0.22028410051704062
21,velocity_direction_cosine,0.20223631948851656,0.20223631948851656
21,speed_profile_correlation,0.01924258559022496,0.01924258559022496
21,path_length_similarity,0.12759793533444408,0.12759793533444408
21,acceleration_direction_cosine,0.2705403320303532,0.2705403320303532
21,zero_lag_correlation,0.23559681538830746,0.23559681538830746
21,best_lag_correlation,0.23136175651959445,0.23136175651959445
22,position_correlation,0.23637936518751224,0.23637936518751224
22,position_cosine,0.4464152608346288,0.4464152608346288
22,normalized_position_rmse,-0.18958042644659057,0.18958042644659057
22,velocity_direction_cosine,0.20345676593997292,0.20345676593997292
22,speed_profile_correlation,0.01737663660871447,0.01737663660871447
22,path_length_similarity,0.14278035749393736,0.14278035749393736
22,acceleration_direction_cosine,0.28858946853889006,0.28858946853889006
22,zero_lag_correlation,0.21410286594522587,0.21410286594522587
22,best_lag_correlation,0.2211608006322331,0.2211608006322331
23,position_correlation,0.24883064536379867,0.24883064536379867
23,position_cosine,0.3766197862486571,0.3766197862486571
23,normalized_position_rmse,-0.2016960106061888,0.2016960106061888
23,velocity_direction_cosine,0.22263159114115783,0.22263159114115783
23,speed_profile_correlation,0.016944793022851012,0.016944793022851012
23,path_length_similarity,0.12599971065313387,0.12599971065313387
23,acceleration_direction_cosine,0.2811018300440179,0.2811018300440179
23,zero_lag_correlation,0.2319331608422085,0.2319331608422085
23,best_lag_correlation,0.2301020723511401,0.2301020723511401
24,position_correlation,0.22580939826816804,0.22580939826816804
24,position_cosine,0.31231634516126144,0.31231634516126144
24,normalized_position_rmse,-0.19083222236294894,0.19083222236294894
24,velocity_direction_cosine,0.18197391000315633,0.18197391000315633
24,speed_profile_correlation,0.019707089509476083,0.019707089509476083
24,path_length_similarity,0.12446085925806738,0.12446085925806738
24,acceleration_direction_cosine,0.22966443690890223,0.22966443690890223
24,zero_lag_correlation,0.20625192608184084,0.20625192608184084
24,best_lag_correlation,0.20319280840653886,0.20319280840653886
25,position_correlation,0.3561968879897963,0.3561968879897963
25,position_cosine,0.5426549845256666,0.5426549845256666
25,normalized_position_rmse,-0.265999788038218,0.265999788038218
25,velocity_direction_cosine,0.2215776095343505,0.2215776095343505
25,speed_profile_correlation,0.04038162294141445,0.04038162294141445
25,path_length_similarity,0.12336751642682986,0.12336751642682986
25,acceleration_direction_cosine,0.3312399309059509,0.3312399309059509
25,zero_lag_correlation,0.2953673037333099,0.2953673037333099
25,best_lag_correlation,0.2972096693342989,0.2972096693342989
26,position_correlation,0.23315927898298638,0.23315927898298638
26,position_cosine,0.40874111486175413,0.40874111486175413
26,normalized_position_rmse,-0.20210536572006566,0.20210536572006566
26,velocity_direction_cosine,0.21385436413144082,0.21385436413144082
26,speed_profile_correlation,0.007742200458283333,0.007742200458283333
26,path_length_similarity,0.14944285576104666,0.14944285576104666
26,acceleration_direction_cosine,0.2898789341342175,0.2898789341342175
26,zero_lag_correlation,0.21832559132865792,0.21832559132865792
26,best_lag_correlation,0.22126114815739784,0.22126114815739784
27,position_correlation,0.30391763223757057,0.30391763223757057
27,position_cosine,0.4479743960307805,0.4479743960307805
27,normalized_position_rmse,-0.21258837448979562,0.21258837448979562
27,velocity_direction_cosine,0.24127362944476707,0.24127362944476707
